n,method,regime,scenario,delta,variable,comparison,n_pairs,mean_diff,se_diff
3000,Conventional MSE,fixed_delta_0.03,F_delta_0.03,0.03,estimate,F_delta_0.03 - continuous,5000,0.015375109784293487,0.00031750209051920676
3000,Conventional MSE,fixed_delta_0.035,F_delta_0.035,0.035,estimate,F_delta_0.035 - continuous,4999,0.02682444690595785,0.0003543391606513071
3000,Conventional MSE,fixed_delta_0.04,F_delta_0.04,0.04,estimate,F_delta_0.04 - continuous,4924,0.04094657506895253,0.0004003906961507905
3000,Conventional MSE,fixed_delta_0.045,F_delta_0.045,0.045,estimate,F_delta_0.045 - continuous,3903,0.059066076391107,0.0004868195658625958
3000,Conventional MSE,fixed_delta_0.05,F_delta_0.05,0.05,estimate,F_delta_0.05 - continuous,1689,0.0830123878075187,0.0007799762053578356
3000,Conventional MSE,shrinking_delta,S_shrink_delta_0.0204,0.0204124145231931,estimate,S_shrink_delta_0.0204 - continuous,5000,0.007659725555882966,0.00021469460150360683
3000,RBC MSE,fixed_delta_0.01,F_delta_0.01,0.01,estimate,F_delta_0.01 - continuous,5000,0.0006381120998654476,0.00010667716588042826
3000,RBC MSE,fixed_delta_0.015,F_delta_0.015,0.015,estimate,F_delta_0.015 - continuous,5000,0.0010849280304095123,0.00015937158000949364
3000,RBC MSE,fixed_delta_0.02,F_delta_0.02,0.02,estimate,F_delta_0.02 - continuous,5000,0.0013082040577090655,0.00021264511695384518
3000,RBC MSE,fixed_delta_0.025,F_delta_0.025,0.025,estimate,F_delta_0.025 - continuous,5000,0.002364648656485848,0.00028097172032682345
3000,RBC MSE,fixed_delta_0.03,F_delta_0.03,0.03,estimate,F_delta_0.03 - continuous,5000,0.004109424675410632,0.00033289501498975747
3000,RBC MSE,fixed_delta_0.035,F_delta_0.035,0.035,estimate,F_delta_0.035 - continuous,4999,0.006201489308694476,0.00038488042456383595
3000,RBC MSE,fixed_delta_0.04,F_delta_0.04,0.04,estimate,F_delta_0.04 - continuous,4924,0.008843156889356394,0.00043935059624053435
3000,RBC MSE,fixed_delta_0.045,F_delta_0.045,0.045,estimate,F_delta_0.045 - continuous,3903,0.01816696783835722,0.000518560367046164
3000,RBC MSE,fixed_delta_0.05,F_delta_0.05,0.05,estimate,F_delta_0.05 - continuous,1689,0.036224921130265805,0.0008134074188226892
3000,RBC MSE,shrinking_delta,S_shrink_delta_0.0204,0.0204124145231931,estimate,S_shrink_delta_0.0204 - continuous,5000,0.0013695465806698945,0.00021832395623720482
4000,Bias-aware/Honest,fixed_delta_0.01,F_delta_0.01,0.01,estimate,F_delta_0.01 - continuous,5000,0.0029865037696202015,0.00010086062394428538
4000,Bias-aware/Honest,fixed_delta_0.015,F_delta_0.015,0.015,estimate,F_delta_0.015 - continuous,5000,0.005149250994049917,0.0001485073641762771
4000,Bias-aware/Honest,fixed_delta_0.02,F_delta_0.02,0.02,estimate,F_delta_0.02 - continuous,5000,0.007865156191043231,0.0001960382077869204
4000,Bias-aware/Honest,fixed_delta_0.025,F_delta_0.025,0.025,estimate,F_delta_0.025 - continuous,5000,0.011120213941476052,0.0002701698943519172
4000,Bias-aware/Honest,fixed_delta_0.03,F_delta_0.03,0.03,estimate,F_delta_0.03 - continuous,5000,0.0170708107107864,0.0002947169600152363
4000,Bias-aware/Honest,fixed_delta_0.035,F_delta_0.035,0.035,estimate,F_delta_0.035 - continuous,4993,0.029296780963593855,0.00033806485742147253
4000,Bias-aware/Honest,fixed_delta_0.04,F_delta_0.04,0.04,estimate,F_delta_0.04 - continuous,4652,0.04413891808443095,0.00038802719880536956
4000,Bias-aware/Honest,fixed_delta_0.045,F_delta_0.045,0.045,estimate,F_delta_0.045 - continuous,2255,0.0642157294017049,0.0005911785244148132
4000,Bias-aware/Honest,fixed_delta_0.05,F_delta_0.05,0.05,estimate,F_delta_0.05 - continuous,424,0.08796107218500758,0.0014115347704709805
4000,Bias-aware/Honest,shrinking_delta,S_shrink_delta_0.0177,0.0176776695296636,estimate,S_shrink_delta_0.0177 - continuous,5000,0.0064009225405156,0.00018017021813684792
4000,Conventional MSE,fixed_delta_0.01,F_delta_0.01,0.01,estimate,F_delta_0.01 - continuous,5000,0.002986503769620094,0.00010086062394428588
4000,Conventional MSE,fixed_delta_0.015,F_delta_0.015,0.015,estimate,F_delta_0.015 - continuous,5000,0.005149250994049658,0.00014850736417627419
4000,Conventional MSE,fixed_delta_0.02,F_delta_0.02,0.02,estimate,F_delta_0.02 - continuous,5000,0.0078651561910433,0.0001960382077869179
4000,Conventional MSE,fixed_delta_0.025,F_delta_0.025,0.025,estimate,F_delta_0.025 - continuous,5000,0.011120213941476298,0.00027016989435191784
4000,Conventional MSE,fixed_delta_0.03,F_delta_0.03,0.03,estimate,F_delta_0.03 - continuous,5000,0.017070810710786127,0.0002947169600152388
4000,Conventional MSE,fixed_delta_0.035,F_delta_0.035,0.035,estimate,F_delta_0.035 - continuous,4993,0.029296780963593946,0.00033806485742147416
4000,Conventional MSE,fixed_delta_0.04,F_delta_0.04,0.04,estimate,F_delta_0.04 - continuous,4652,0.04413891808443068,0.00038802719880539976
4000,Conventional MSE,fixed_delta_0.045,F_delta_0.045,0.045,estimate,F_delta_0.045 - continuous,2255,0.0642157294018405,0.0005911785244187843
4000,Conventional MSE,fixed_delta_0.05,F_delta_0.05,0.05,estimate,F_delta_0.05 - continuous,424,0.08796107218492452,0.0014115347704801299
4000,Conventional MSE,shrinking_delta,S_shrink_delta_0.0177,0.0176776695296636,estimate,S_shrink_delta_0.0177 - continuous,5000,0.006400922540515159,0.0001801702181368477
4000,RBC MSE,fixed_delta_0.01,F_delta_0.01,0.01,estimate,F_delta_0.01 - continuous,5000,0.0006186941641394173,0.00010080449668470752
4000,RBC MSE,fixed_delta_0.015,F_delta_0.015,0.015,estimate,F_delta_0.015 - continuous,5000,0.0010599666567883477,0.00015000842418001046
4000,RBC MSE,fixed_delta_0.02,F_delta_0.02,0.02,estimate,F_delta_0.02 - continuous,5000,0.0015111998118988433,0.0002009341014891302
4000,RBC MSE,fixed_delta_0.025,F_delta_0.025,0.025,estimate,F_delta_0.025 - continuous,5000,0.002009472176713937,0.0002675895053151955
4000,RBC MSE,fixed_delta_0.03,F_delta_0.03,0.03,estimate,F_delta_0.03 - continuous,5000,0.004192871568248422,0.0003143936741681016
4000,RBC MSE,fixed_delta_0.035,F_delta_0.035,0.035,estimate,F_delta_0.035 - continuous,4993,0.006134305502601798,0.00037140523186710337
4000,RBC MSE,fixed_delta_0.04,F_delta_0.04,0.04,estimate,F_delta_0.04 - continuous,4652,0.010567217765024851,0.00042211978661549213
4000,RBC MSE,fixed_delta_0.045,F_delta_0.045,0.045,estimate,F_delta_0.045 - continuous,2255,0.024606259205974177,0.0006202546739581832
4000,RBC MSE,fixed_delta_0.05,F_delta_0.05,0.05,estimate,F_delta_0.05 - continuous,424,0.04578224220263297,0.0014811171957744122
4000,RBC MSE,shrinking_delta,S_shrink_delta_0.0177,0.0176776695296636,estimate,S_shrink_delta_0.0177 - continuous,5000,0.001217572245136063,0.00017968803078857162
5000,Bias-aware/Honest,fixed_delta_0.01,F_delta_0.01,0.01,estimate,F_delta_0.01 - continuous,5000,0.0029917281533115535,9.554900891451176e-05
5000,Bias-aware/Honest,fixed_delta_0.015,F_delta_0.015,0.015,estimate,F_delta_0.015 - continuous,5000,0.005430212730960298,0.00014268476786085245
5000,Bias-aware/Honest,fixed_delta_0.02,F_delta_0.02,0.02,estimate,F_delta_0.02 - continuous,5000,0.00860364684289121,0.00018723540556083622
5000,Bias-aware/Honest,fixed_delta_0.025,F_delta_0.025,0.025,estimate,F_delta_0.025 - continuous,5000,0.010006442724569001,0.0002540792161630835
5000,Bias-aware/Honest,fixed_delta_0.03,F_delta_0.03,0.03,estimate,F_delta_0.03 - continuous,5000,0.018762734779496765,0.0002796767036969704
5000,Bias-aware/Honest,fixed_delta_0.035,F_delta_0.035,0.035,estimate,F_delta_0.035 - continuous,4962,0.031232331297107337,0.0003217101825611022
5000,Bias-aware/Honest,fixed_delta_0.04,F_delta_0.04,0.04,estimate,F_delta_0.04 - continuous,4014,0.04752562941959964,0.000389050279575601
5000,Bias-aware/Honest,fixed_delta_0.045,F_delta_0.045,0.045,estimate,F_delta_0.045 - continuous,968,0.06990073659234902,0.0008363273493804772
