scenario,scenario_label,rep,u_mean,u_sd,u_skew,u_excess_kurtosis,u_q01,u_q05,u_q50,u_q95,u_q99,contam_share
N3,N3 One-sided contamination,503,0.020305978706584068,0.9923435272367598,3.9431155327317544,21.680618915410726,-1.5721563284358044,-0.9597946327440218,-0.0734072045989858,0.9481575481082215,5.775649290248264,0.02
N0,N0 Normal,504,0.03368263056402456,1.0015203817547333,-0.1167637347897551,0.24437169297671568,-2.669969381634751,-1.5415825139452575,0.005098855523017979,1.6508269153687578,2.270503585009008,
N1,N1 Severe skewness,504,0.023190960800213312,1.0653319427736305,2.5891710319730636,7.7935949514853355,-0.7070042304233284,-0.7046476370848848,-0.4071364955437829,2.0825072381696303,4.065407025359228,
N2,N2 Extreme t3 tails,504,-0.05567901156348553,0.9250877835425164,1.0109642156486238,12.74159129300005,-2.4711666477349863,-1.4431004613453553,-0.042638559828147626,1.1970388782792798,2.2956776066158278,
N3,N3 One-sided contamination,504,0.03128399885847733,1.1646900348086455,3.5720812378973514,15.952771757863136,-1.3636167567184672,-1.0655062710707148,-0.1620139975040189,1.1927447917084748,6.114785099008102,0.03
N0,N0 Normal,505,-0.015188159528415212,0.9716521684299245,0.0359851990228252,-0.2539412871671307,-2.0323272225335534,-1.5723249675312692,-0.038136181071803714,1.504903684383834,2.193725587088486,
N1,N1 Severe skewness,505,-0.11361124452607375,0.8279717189731106,2.4517647211971334,7.436461817596157,-0.7068842430692583,-0.7046216604517548,-0.43084298470058047,1.5475062687010368,3.2047552187642614,
N2,N2 Extreme t3 tails,505,0.055047896029626016,0.8669616741622957,-0.11044899707529965,9.111569997435094,-2.017731895770642,-1.1243228880659732,0.016646195951180408,1.3524211092775844,2.385449122406576,
N3,N3 One-sided contamination,505,-0.04016929848146276,0.9732588163977623,3.8392861587371003,20.935537694221537,-1.6047952358016218,-1.022782783366917,-0.1310401864526791,0.8704484804363583,5.631742987678137,0.02
N0,N0 Normal,506,0.02900665513591875,1.0217657727337541,-0.06902301848151073,-0.3455359729117635,-2.3541957307969468,-1.655993237521267,0.022165398538893683,1.6466143792193983,2.2871994028706917,
N1,N1 Severe skewness,506,-0.06338649694730444,0.917304389790897,2.488868116550012,7.956424808016305,-0.706956964664943,-0.7036109517298065,-0.4372009562063883,1.751036276867593,3.4417308911249838,
N2,N2 Extreme t3 tails,506,0.050295370400748225,0.862976117148764,-0.06256752217497745,4.04997125741157,-2.643955021794153,-1.1534417885146488,0.020990049106927682,1.3825374524388998,2.526805944811814,
N3,N3 One-sided contamination,506,0.039064163174018375,1.1126167260784308,3.7221657697349855,18.072311161680023,-1.6127179774246232,-1.0764211475033627,-0.07133372866913412,0.9628418681610866,6.024166461884422,0.026
N0,N0 Normal,507,-0.06832686649389354,1.0136101594185403,-0.09174056988121218,0.15725992724977544,-2.5702508110398,-1.7165160291137191,-0.09289783830601422,1.547202220793112,2.293340863979741,
N1,N1 Severe skewness,507,-0.03934799968515921,0.9344105158415683,2.4663607661424765,8.469710517923483,-0.7069537505459621,-0.7032805311569899,-0.4575619848031481,1.7130266848426277,3.2886287557104414,
N2,N2 Extreme t3 tails,507,-0.0250242533899032,0.8395192725270315,-0.8242875908811725,4.645569453593385,-2.577081360212805,-1.473036880354594,0.026196438759519908,1.1268222096388765,1.8875083683141594,
N3,N3 One-sided contamination,507,-0.022620192806763022,0.921579077939186,3.7016569997670064,23.284171227105897,-1.542489069352739,-1.093778501025792,-0.05837540572216767,0.8796864901167085,5.300544296490415,0.014
N0,N0 Normal,508,0.024074590728654532,1.0208217177278165,-0.05836683902360394,0.009373598455981735,-2.3660387760351522,-1.6518513990606103,0.043481538088595825,1.6495646653417215,2.255310623927885,
N1,N1 Severe skewness,508,-0.03663006030247164,1.0613304106240278,3.698494834552983,20.420375517528882,-0.7069858179734939,-0.7038334537436056,-0.42622154919613486,1.9003738209169536,4.248553552820214,
