n,regime,method,frontier_failure_reason,count,share_within_scenario_method
3000,fixed_delta_0.03,Conventional MSE,ok,5000,1.0
3000,fixed_delta_0.03,RBC MSE,ok,5000,1.0
3000,fixed_delta_0.035,Bias-aware/Honest,ok,4999,0.9998
3000,fixed_delta_0.035,Bias-aware/Honest,raw_failure,1,0.0002
3000,fixed_delta_0.035,Conventional MSE,ok,4999,0.9998
3000,fixed_delta_0.035,Conventional MSE,raw_failure,1,0.0002
3000,fixed_delta_0.035,RBC MSE,ok,4999,0.9998
3000,fixed_delta_0.035,RBC MSE,raw_failure,1,0.0002
3000,fixed_delta_0.04,Bias-aware/Honest,ok,4924,0.9848
3000,fixed_delta_0.04,Bias-aware/Honest,raw_failure,51,0.0102
3000,fixed_delta_0.04,Bias-aware/Honest,nan_ci,25,0.005
3000,fixed_delta_0.04,Conventional MSE,ok,4924,0.9848
3000,fixed_delta_0.04,Conventional MSE,raw_failure,51,0.0102
3000,fixed_delta_0.04,Conventional MSE,nan_ci,14,0.0028
3000,fixed_delta_0.04,Conventional MSE,insufficient_unique_h,11,0.0022
3000,fixed_delta_0.04,RBC MSE,ok,4924,0.9848
3000,fixed_delta_0.04,RBC MSE,raw_failure,51,0.0102
3000,fixed_delta_0.04,RBC MSE,nan_ci,14,0.0028
3000,fixed_delta_0.04,RBC MSE,insufficient_unique_h,11,0.0022
3000,fixed_delta_0.045,Bias-aware/Honest,ok,3903,0.7806
3000,fixed_delta_0.045,Bias-aware/Honest,raw_failure,656,0.1312
3000,fixed_delta_0.045,Bias-aware/Honest,nan_ci,441,0.0882
3000,fixed_delta_0.045,Conventional MSE,ok,3903,0.7806
3000,fixed_delta_0.045,Conventional MSE,raw_failure,656,0.1312
3000,fixed_delta_0.045,Conventional MSE,nan_ci,230,0.046
3000,fixed_delta_0.045,Conventional MSE,insufficient_unique_h,211,0.0422
3000,fixed_delta_0.045,RBC MSE,ok,3903,0.7806
3000,fixed_delta_0.045,RBC MSE,raw_failure,656,0.1312
3000,fixed_delta_0.045,RBC MSE,insufficient_unique_h,244,0.0488
3000,fixed_delta_0.045,RBC MSE,nan_ci,197,0.0394
3000,fixed_delta_0.05,Bias-aware/Honest,raw_failure,1881,0.3762
3000,fixed_delta_0.05,Bias-aware/Honest,ok,1689,0.3378
3000,fixed_delta_0.05,Bias-aware/Honest,nan_ci,1430,0.286
3000,fixed_delta_0.05,Conventional MSE,raw_failure,1881,0.3762
3000,fixed_delta_0.05,Conventional MSE,ok,1689,0.3378
