n,support_bin,method,n_rows,n_success,n_minimal_usable,n_frontier_display_ok,success_rate,minimal_usability_rate,coverage,coverage_conditional_on_raw_success,coverage_conditional_on_minimal_usable,coverage_conditional_on_frontier_display_ok,mc_se_coverage,coverage_unconditional,avg_ci_length,median_ci_length,p95_ci_length,p99_ci_length,pathological_length_rate,formal_support_ok_rate,coverage_display_ok_rate,avg_local_support_score,avg_min_unique_h,avg_min_unique_b,avg_obs_h_left,avg_obs_h_right,avg_obs_b_left,avg_obs_b_right
1000,13+,Bias-aware/Honest,5000,5000,5000,5000,1.0,1.0,0.9956,0.9956,0.9956,0.9956,0.000936017093861,0.9956,0.3833077245868517,0.37767109264312904,0.492392961272928,0.5618495553010363,0.0,1.0,1.0,46.8462,46.8462,98.5532,57.1004,47.9422,146.6756,98.5662
1000,missing,Bias-aware/Honest,27,0,0,0,0.0,0.0,,,,,,0.0,,,,,0.0,0.0,0.0,,,,,,,
1000,0-2,Conventional MSE,16973,16966,16958,0,0.9995875802745537,0.9991162434454722,0.7352941176470589,0.7352941176470589,0.7351692416558556,,0.0033870578214903312,0.7349908678489365,1404.6541715578633,0.2184471309616431,0.273903057508525,0.30825141506721426,0.00047133682908148233,0.9991162434454722,0.0,1.9991162434454721,1.9991162434454721,4.732103929770813,59.17121310316385,49.27390561479998,152.85535851057563,101.20526718906498
1000,3-4,Conventional MSE,16153,16153,16153,0,1.0,1.0,0.785674487711261,0.785674487711261,0.785674487711261,,0.003228729518349683,0.785674487711261,0.22082809353116975,0.2170334848091499,0.2816554819359165,0.31575093273368077,0.0,1.0,0.0,3.3594378753172784,3.3594378753172784,7.616727542871293,62.04667863554758,51.396582678140284,152.87414102643473,101.43768959326441
1000,5-7,Conventional MSE,7274,7274,7274,7274,1.0,1.0,0.7925488039593072,0.7925488039593072,0.7925488039593072,0.7925488039593072,0.004754275347574854,0.7925488039593072,0.2197386162696884,0.2141219416155153,0.29139152607710195,0.3467316103820069,0.0,1.0,1.0,5.678443772339841,5.678443772339841,12.947346714324993,61.01993401154798,50.642287599670055,152.15411053065714,101.06956282650536
1000,8-12,Conventional MSE,4573,4573,4573,4573,1.0,1.0,0.8469276186310956,0.8469276186310956,0.8469276186310956,0.8469276186310956,0.005324403575779886,0.8469276186310956,0.22222750257032853,0.2163259718820471,0.29838183567705706,0.3479378171793183,0.0,1.0,1.0,8.811064946424667,8.811064946424667,20.05029521102121,60.13623441941832,50.135797069757274,151.78329324294774,100.96763612508201
1000,13+,Conventional MSE,5000,5000,5000,5000,1.0,1.0,0.8602,0.8602,0.8602,0.8602,0.004904201464051004,0.8602,0.2236961563311817,0.2191544669512488,0.3024689593002226,0.35477665654617674,0.0,1.0,1.0,46.8462,46.8462,98.5532,57.1004,47.9422,146.6756,98.5662
1000,missing,Conventional MSE,27,0,0,0,0.0,0.0,,,,,,0.0,,,,,0.0,0.0,0.0,,,,,,,
1000,0-2,RBC MSE,16973,16965,16958,0,0.9995286631709185,0.9991162434454722,0.9386383731211317,0.9386383731211317,0.9386130439910367,,0.0018425558183528007,0.9381959582866907,1635.2960331141821,0.2527391623423192,0.3063258104018044,0.3403320624997759,0.0004124197254462971,0.9991162434454722,0.0,1.9991162434454721,1.9991162434454721,4.732103929770813,59.17121310316385,49.27390561479998,152.85535851057563,101.20526718906498
1000,3-4,RBC MSE,16153,16153,16153,0,1.0,1.0,0.9265151984151551,0.9265151984151551,0.9265151984151551,,0.002053044866135706,0.9265151984151551,0.24409322479305334,0.2402387005651256,0.3088113941800649,0.3447613057348487,0.0,1.0,0.0,3.3594378753172784,3.3594378753172784,7.616727542871293,62.04667863554758,51.396582678140284,152.87414102643473,101.43768959326441
